canonical_value,region
alabama,us domestic
alaska,us domestic
albania,europe
algeria,africa
american samoa,us domestic
angola,africa
argentina,latin america
arizona,us domestic
arkansas,us domestic
armed forces europe,other
armed forces pacific,other
armenia,indo_pacific
australia,indo_pacific
austria,europe
azerbaijan,indo_pacific
"bahamas, the",other
bahrain,middle east
bangladesh,indo_pacific
barbados,latin america
belgium,europe
belize,latin america
benin,africa
bolivia,latin america
bosnia and herzegovina,europe
botswana,africa
brazil,latin america
british atlantic ocean territory,other
british indian ocean territory,other
brunei,indo_pacific
bulgaria,europe
burkina faso,africa
burma,indo_pacific
burundi,africa
cabo verde,latin america
california,us domestic
cambodia,indo_pacific
cameroon,africa
canada,other
central african republic,africa
chad,africa
chile,latin america
china,indo_pacific
colombia,latin america
colorado,us domestic
congo (brazzaville),africa
congo (kinshasa),africa
connecticut,us domestic
costa rica,latin america
cote divoire,africa
croatia,europe
cuba,latin america
curacao,latin america
cyprus,europe
czechia,europe
côte d'ivoire,africa
delaware,us domestic
democratic republic of the congo,africa
denmark,europe
diego garcia,other
district of columbia,us domestic
djibouti,africa
dominican republic,latin america
ecuador,latin america
egypt,middle east
el salvador,latin america
estonia,europe
ethiopia,africa
fiji,indo_pacific
finland,europe
florida,us domestic
france,europe
gabon,africa
"gambia, the",africa
georgia,us domestic
germany,europe
ghana,africa
gibraltar,europe
greece,europe
greenland,other
grenada,latin america
guam,us domestic
guantanamo bay naval base,other
guatemala,latin america
guinea,africa
guyana,latin america
haiti,latin america
hawaii,us domestic
honduras,latin america
hong kong,indo_pacific
hungary,europe
iceland,europe
idaho,us domestic
illinois,us domestic
india,indo_pacific
indiana,us domestic
indonesia,indo_pacific
iowa,us domestic
iran,middle east
iraq,middle east
ireland,europe
israel,middle east
italy,europe
jamaica,latin america
japan,indo_pacific
johnston atoll,other
jordan,middle east
kansas,us domestic
kazakhstan,indo_pacific
kentucky,us domestic
kenya,africa
kiribati,indo_pacific
"korea, south",indo_pacific
kosovo,europe
kuwait,middle east
kyrgyzstan,indo_pacific
laos,indo_pacific
latvia,europe
lebanon,middle east
liberia,africa
libya,africa
lithuania,europe
louisiana,us domestic
luxembourg,europe
macedonia,europe
madagascar,africa
maine,us domestic
malawi,africa
malaysia,indo_pacific
mali,africa
malta,europe
marshall islands,us domestic
maryland,us domestic
massachusetts,us domestic
mauritania,africa
mauritius,africa
mexico,latin america
michigan,us domestic
micronesia,indo_pacific
"micronesia, federated states of",indo_pacific
minnesota,us domestic
mississippi,us domestic
missouri,us domestic
moldova,europe
mongolia,indo_pacific
montana,us domestic
montenegro,europe
morocco,africa
mozambique,africa
myanmar,indo_pacific
namibia,africa
nebraska,us domestic
nepal,indo_pacific
netherlands,europe
netherlands antilles,europe
nevada,us domestic
new hampshire,us domestic
new jersey,us domestic
new mexico,us domestic
new york,us domestic
new zealand,indo_pacific
nicaragua,latin america
niger,africa
nigeria,africa
north carolina,us domestic
north dakota,us domestic
northern mariana,us domestic
northern mariana islands,us domestic
norway,europe
ohio,us domestic
oklahoma,us domestic
oman,middle east
oregon,us domestic
overseas_zz-unknown,other
pakistan,indo_pacific
palau,indo_pacific
palestine,middle east
panama,latin america
papua new guinea,indo_pacific
paraguay,latin america
pennsylvania,us domestic
peru,latin america
philippines,indo_pacific
poland,europe
portugal,europe
puerto rico,us domestic
qatar,middle east
republic of the congo,africa
rhode island,us domestic
romania,europe
russia,europe
rwanda,africa
"saint helena, ascension, and t",africa
"saint helena, ascension, and tristan da cunha",africa
samoa,indo_pacific
saudi arabia,middle east
senegal,africa
serbia,europe
sierra leone,africa
singapore,indo_pacific
slovakia,europe
slovenia,europe
somalia,africa
south africa,africa
south carolina,us domestic
south dakota,us domestic
south korea,indo_pacific
south sudan,africa
spain,europe
sri lanka,indo_pacific
suriname,latin america
swaziland,africa
sweden,europe
switzerland,europe
syria,middle east
taiwan,indo_pacific
tajikistan,indo_pacific
tanzania,africa
tennessee,us domestic
texas,us domestic
thailand,indo_pacific
the bahamas,other
the gambia,other
timor-leste,indo_pacific
togo,africa
trinidad and tobago,latin america
tunisia,africa
turkey,middle east
turkmenistan,indo_pacific
türkiye,middle east
uganda,africa
ukraine,europe
united arab emirates,middle east
united kingdom,europe
united states,us domestic
uruguay,latin america
us_zz-unknown,other
utah,us domestic
uzbekistan,indo_pacific
venezuela,latin america
vermont,us domestic
vietnam,indo_pacific
virgin islands,us domestic
"virgin islands, u.s.",us domestic
virginia,us domestic
wake island,other
washington,us domestic
west virginia,us domestic
wisconsin,us domestic
wyoming,us domestic
yemen,middle east
zambia,africa
zimbabwe,africa
british atlantic ocean territo,other
"micronesia, federated states o",other
